type,category,name,parts,option1,option2,option3,success_rate,note,order,recent_price,recent_date,price_note
접미,이동속도,경주마의,신발,이동 속도 증가 (1% ~8%),*전력질주 스킬 경험치 증가 (-2 ~ -1),,35%,,6,75000,2026-05-24,
접미,이동속도,날쌘  발걸음의,상의,이동 속도 증가 (0.5% ~ 4%),최대 스태미나 증가 (100 ~ 400),,45%,,7,20000,2026-05-05,
접미,이동속도,질풍의,"상의, 하의",이동 속도 증가 (0.5% ~ 4%),,,50%,,8,15000,2026-05-09,
접미,이동속도,발걸음의,상의,이동 속도 증가 (0.5% ~ 3%),최대 스태미나 증가 (100 ~ 200),,50%,,9,7000,2026-05-13,
접미,이동속도,전력질주의,상의,이동 속도 증가 (1% ~ 6%),전력질주 스태미나 감소 (1 ~ 10),,40%,,10,170000,2026-07-14,구만집
접미,이동속도,바람의,"겉옷/단독상의, 하의",이동 속도 증가 (1% ~ 8%),,,25%,,11,150000,2026-08-19,영포티
접미,이동속도,신속의,하의,이동 속도 증가 (0.5% ~ 2%),,,65%,,12,,,
접미,이동속도,러너의,신발,이동 속도 증가 (1% ~ 6%),*전력질주 스킬 경험치 증가 (-3 ~ -1),,45%,,13,20000,2026-08-16,백민훈
접미,이동속도,질주의,"상의, 하의",이동 속도 증가 (0.5% ~ 3.5%),,,55%,,14,,,
접미,이동속도,레이서의,신발,이동 속도 증가 (1% ~ 10%),*전력질주 스킬 경험치 증가 (-3 ~ -1),,25%,,15,170000,2026-05-05,
접미,이동속도,쾌속의,하의,이동 속도 증가 (1% ~ 7%),최대 스태미나 증가 (50 ~ 300),,30%,,16,120000,2026-05-09,
접미,이동속도,추격의,"겉옷/단독상의, 하의",이동 속도 증가 (1% ~ 6%),,,30%,,17,60000,2026-07-15,영포티
접미,이동속도,기동의,하의,이동 속도 증가 (1% ~ 5%),최대 스태미나 증가 (50 ~ 200),,35%,,18,25000,2026-08-05,영포티
접두,체력,제한된,"상의, 하의",*이동 속도 증가 (-4% ~ -1%),최대 체력 증가 (5 ~ 10),,60%,,1,,,
접두,체력,온전한,하의,최대 체력 증가 (1 ~ 10),*최대 스태미나 증가 (-200 ~ -100),,35%,,2,,,
접두,체력,굳건한,상의,최대 체력 증가 (1 ~ 10),*이동 속도 증가 (-8% ~ -1%),,50%,,3,,,
접두,체력,든든한,상의,최대 체력 증가 (5 ~ 10),*이동 속도 증가 (-6% ~ -1%),,55%,,4,,,
접두,체력,강인한,상의,최대 체력 증가 (5 ~ 15),*이동 속도 증가 (-10% ~ -2%),,35%,,5,,,
접두,체력,충만한,하의,최대 체력 증가 (5 ~ 15),*최대 스태미나 증가 (-500 ~ -100),,25%,,6,,,
접두,체력,단단한,"상의, 하의",최대 체력 증가 (5 ~ 10),,,35%,,7,8000,2026-05-10,
접두,체력,쾌활한,겉옷/단독상의,최대 체력 증가 (1 ~ 5),최대 스태미나 증가 (50 ~ 100),,40%,,8,4000,2026-05-12,
접두,체력,육중한,"상의, 하의",*이동 속도 증가 (-3% ~ -1%),최대 체력 증가 (1 ~ 10),,65%,,9,,,
접두,체력,끝없는,겉옷/단독상의,최대 체력 증가 (5 ~ 10),최대 스태미나 증가 (50 ~ 200),,30%,,10,30000,2026-06-21,
접두,체력,물렁한,"상의, 하의",최대 체력 증가 (1 ~ 10),,,45%,,11,3000,2026-08-08,영포티
접두,체력,비실한,"상의, 하의",최대 체력 증가 (1 ~ 5),,,55%,,12,,,
접두,체력,정적인,"상의, 하의",*이동 속도 증가 (-6% ~ -3%),최대 체력 증가 (5 ~ 15),,55%,,13,,,
접두,체력,확고한,"상의, 하의",최대 체력 증가 (1 ~ 10),최대 스태미나 증가 (100 ~ 300),*이동 속도 증가 (-6% ~ 1%),30%,,14,,,
접두,체력,굳센,하의,최대 체력 증가 (1 ~ 15),*최대 스태미나 증가 (-300 ~ -100),,30%,,15,3000,2026-05-05,
접두,체력,버티는,"상의, 하의",최대 체력 증가 (1 ~ 15),,,35%,,16,40000,2026-07-17,영포티
접두,체력,건강한,겉옷/단독상의,최대 체력 증가 (1 ~ 10),최대 스태미나 증가 (50 ~ 150),,35%,,17,10000,2026-08-04,영포티
접두,체력,강력한,"상의, 하의",최대 체력 증가 (1 ~ 15),최대 스태미나 증가 (100 ~ 500),*이동 속도 증가 (-10% ~ 1%),20%,,18,15000,2026-05-24,
접미,체력,강인함의,하의,최대 체력 증가 (2 ~ 8),,,55%,,1,,,
접미,체력,끈기의,겉옷/단독상의,체력 재생 증가 (0.5 ~ 2),,,10%,,2,,,
접미,체력,튼튼함의,하의,최대 체력 증가 (2 ~ 14),,,45%,,3,20000,2026-06-22,
접미,체력,피기의,"상의, 하의",최대 체력 증가 (1 ~ 5),*전력질주 스태미나 감소 (-10 ~ -5),,65%,,4,,,
접미,체력,회복의,겉옷/단독상의,체력 재생 증가 (0.5 ~ 1),,,35%,,5,,,
접미,체력,생기의,"상의, 하의",최대 체력 증가 (1 ~ 10),*전력질주 스태미나 감소 (-20 ~ -5),,60%,,6,,,
접미,체력,치유의,겉옷/단독상의,체력 재생 증가 (0.5 ~ 1.5),,,25%,,7,,,
접미,체력,단단함의,하의,최대 체력 증가 (2 ~ 20),,,40%,,8,90000,2026-05-08,
접두,감정,흐릿한,상의,감정 성공 확률 (0.1% ~ 1%),,,65%,,1,,,
접두,감정,지혜로운,상의,*감정 성공 확률 (-1.5% ~ -1%),감정 시 파괴 확률 감소 (1% ~ 2%),,25%,,2,,,
접두,감정,진실된,상의,감정 성공 확률 (0.5% ~ 3%),,,25%,,3,,,
접두,감정,명료한,상의,감정 성공 확률 (0.1% ~ 1.5%),,,60%,,4,,,
접두,감정,탁월한,상의,감정 성공 확률 (0.5% ~ 3%),감정 시 파괴 확률 감소 (0.5% ~ 3%),,15%,,5,,,
접두,감정,빈틈없는,상의,감정 성공 확률 (0.1% ~ 1%),감정 시 파괴 확률 감소 (0.1% ~ 1%),,25%,,6,,,
접두,감정,심도있는,상의,감정 성공 확률 (0.1% ~ 1.5%),감정 시 파괴 확률 감소 (0.1% ~ 1.5%),,22%,,7,,,
접미,감정,증거의,상의,감정 시 파괴 확률 감소 (0.4% ~ 1.5%),,,20%,,1,,,
접미,감정,통찰의,상의,감정 성공 확률 (0.1% ~ 1.5%),*감정 시 파괴 확률 감소 (-5% ~ -1%),,20%,,2,,,
접미,감정,본질의,상의,감정 성공 확률 (0.1% ~ 1.5%),*이동 속도 증가 (-20% ~ -10%),,20%,,3,,,
접미,감정,예리함의,상의,감정 성공 확률 (0.1% ~ 2%),*감정 시 파괴 확률 감소 (-7% ~ -1%),,18%,,4,,,
접미,감정,증명의,상의,감정 시 파괴 확률 감소 (0.5% ~ 2%),,,15%,,5,3000,2026-05-05,
접두,절도,유령 같은,하의,빈집털이 소음 감소 (0.5% ~ 2.5%),*이동 속도 증가 (-7% ~ -1%),,25%,,1,,,
접두,절도,교활한,신발,절도 속도 증가 (0.1% ~ 3%),,,40%,,2,,,
접두,절도,탐욕스러운,하의,절도 속도 증가 (0.5% ~ 1.5%),*최대 스태미나 증가 (-400 ~ -100),,50%,,3,,,
접두,절도,조용한,신발,절도 소음 감소 (0.1% ~ 4%),,,30%,,4,,,
접두,절도,훔치는,상의,절도 2배 획득 확률 (0.1% ~ 1%),,,30%,,5,,,
접두,절도,그림자 같은,하의,빈집털이 소음 감소 (0.5% ~ 2%),*이동 속도 증가 (-5% ~ -1%),,30%,,6,,,
접두,절도,챙기는,"신발, 하의",절도 소음 감소 (0.1% ~ 2%),*이동 속도 증가 (-4% ~ -1%),,40%,,7,,,
접두,절도,소리 없는,하의,빈집털이 소음 감소 (0.5% ~ 1.5%),*이동 속도 증가 (-3% ~ -1%),,35%,,8,2000,2026-05-10,
접두,절도,빼앗는,"신발, 하의",절도 소음 감소 (0.1% ~ 1.5%),*최대 스태미나 증가 (-400 ~ -100),,45%,,9,,,
접두,절도,사뿐사뿐한,하의,빈집털이 소음 감소 (0.5% ~ 2%),,,40%,,10,,,
접두,절도,기만하는,하의,절도 2배 획득 확률 (0.1% ~ 2%),*빈집털이 소음 감소 (-3% ~ -1%),,30%,,11,,,
접미,절도,무법자의,하의,절도 소음 감소 (0.5% ~ 2%),*빈집털이 소음 감소 (-2% ~ -1%),*이동 속도 증가 (-5% ~ -1%),60%,,1,3000,2026-05-11,
접미,절도,도적의,하의,절도 속도 증가 (0.1% ~ 3%),*빈집털이 소음 감소 (-2% ~ -1%),*최대 스태미나 증가 (-400 ~ -100),60%,,2,,,
접미,절도,노략질의,하의,절도 소음 감소 (0.5% ~ 2%),*절도 속도 증가 (-2 ~ -1%),*이동 속도 증가 (-5% ~ 1%),60%,,3,,,
접미,절도,약탈꾼의,하의,절도 속도 증가(0.1~5%),*절도 2배 획득 확률 감소 (1%~2%),*최대 스테미나 감소 (100~400),45%,,4,35000,2026-05-05,
접두,낚시,요동치는,"상의, 하의",입질 대기 시간 감소 (0.5% ~ 2%),*최대 체력 증가 (-20 ~ -5),,60%,,1,,,
접두,낚시,고요한,"겉옷/단독상의, 상의",입질 대기 시간 감소 (0.5% ~ 1.5%),,,65%,,2,,,
접두,낚시,고인,상의,낚시 2배 획득 확률 (0.5% ~ 2.5%),,,55%,,3,,,
접두,낚시,축축한,"상의, 하의",입질 대기 시간 감소 (0.5% ~ 2%),*이동 속도 증가 (-10% ~ -5%),,60%,,4,,,
접두,낚시,거친,상의,낚시 2배 획득 확률 (0.5% ~ 1.5%),,,65%,,5,,,
접두,낚시,참고있는,"신발, 하의",낚시 배고픔 감소 (1% ~ 10%),,,60%,,6,,,
접두,낚시,평온한,"신발, 상의",낚시 목마름 감소 (1% ~ 5%),,,65%,,7,,,
접두,낚시,거센,"상의, 하의",낚시 시간 감소 (0.5% ~ 3%),낚시 2배 획득 확률 (0.5% ~ 2%),*최대 스태미나 증가 (-300 ~ -100),40%,,8,,,
접두,낚시,기다리는,"신발, 상의",낙시 배고픔 감소 (1% ~ 5%),,,65%,,9,,,
접두,낚시,출렁이는,"겉옷/단독상의, 상의",낚시 시간 감소 (0.5% ~ 2%),낚시 스태미나 감소 (10% ~ 30%),,55%,,10,,,
접두,낚시,넘실거리는,"상의, 하의",낚시 시간 감소 (0.5% ~ 2%),최대 스태미나 증가 (100 ~ 300),,45%,,11,,,
접두,낚시,잔잔한,"겉옷/단독상의, 상의",낚시 시간 감소 (0.5% ~ 2%),최대 스태미나 증가 (100 ~ 200),,50%,,12,,,
접미,낚시,파도의,"상의, 하의",입질 대기 시간 감소 (0.5% ~ 2%),*이동 속도 증가 (-10% ~ -1%),,60%,,1,,,
접미,낚시,해안의,"상의, 하의",입질 대기 시간 감소 (0.5% ~ 1.5%),,,65%,,2,,,
접미,낚시,조류의,"상의, 하의",낚시 2배 획득 확률 (0.5% ~ 2%),*이동 속도 증가 (-10% ~ -1%),,55%,,3,,,
접미,낚시,바다의,"상의, 하의",입질 대기 시간 감소 (0.5% ~ 3%),,,55%,,4,,,
접미,낚시,갯바위의,"상의, 하의",입질 대기 시간 감소 (0.5% ~ 2%),,,60%,,5,,,
접미,낚시,대양의,신발,낚시 스태미나 감소 (0.5% ~ 5%),,,65%,,6,,,
접미,낚시,바닷속의,"상의, 하의",낚시 시간 감소 (0.5% ~ 3%),최대 스태미나 증가 (100 ~ 500),*최대 체력 증가 (-20 ~ -5),50%,,7,,,
접두,벌목,싹트는,"신발, 겉옷/단독상의",벌목 시간 감소 (0.5% ~ 3%),벌목 2배 획득 확률 (0.5% ~ 2%),*최대 스태미나 감소 (-300 ~-100),40%,,1,40000,2026-05-22,
접두,벌목,울창한,하의,벌목 2배 획득 확률 (0.5% ~ 1.5%),,,65%,,2,,,
접두,벌목,뒤엉킨,하의,벌목 2배 획득 확률 (0.5% ~ 2%),,,60%,,3,,,
접두,벌목,피어나는,하의,벌목 2배 획득 확률 (0.5% ~ 2.5%),,,??%,,4,,,
접두,벌목,그늘진,"신발, 겉옷/단독상의",벌목 시간 감소 (0.5% ~ 2%),*이동 속도 증가 (-10% ~ -5%),,60%,,5,2000,2026-05-25,
접두,벌목,싱그러운,"겉옷/단독상의, 하의",벌목 시간 감소 (0.5% ~ 1.5%),,,65%,,6,,,
접두,벌목,푸르른,"겉옷/단독상의, 하의",벌목 시간 감소 (0.5% ~ 2%),최대 스태미나 증가 (100 ~ 200),,50%,,7,2000,2026-05-10,
접두,벌목,옹골찬,"신발, 상의",벌목 목마름 감소 (1% ~ 5%),,,65%,,8,,,
접두,벌목,생기 넘치는,"신발, 상의",벌목 배고픔 감소 (1% ~ 5%),,,65%,,9,,,
접두,벌목,짙푸른,"신발, 하의",벌목 목마름 감소 (1% ~ 10%),,,60%,,10,,,
접두,벌목,무성한,"겉옷/단독상의, 하의",벌목 시간감소 (0.5~2%),벌목 스태미나 감소 (10%~30%),,55%,,11,2000,2026-05-10,
접미,벌목,숲그늘의,"상의, 하의",벌목 시간 감소 (0.5% ~ 2%),*이동 속도 증가 (-10% ~ -1%),,60%,,1,,,
접미,벌목,가지의,"겉옷/단독상의, 상의",벌목 시간 감소 (0.5% ~ 1.5%),,,65%,,2,,,
접미,벌목,숲속의,"겉옷/단독상의, 상의",벌목 시간 감소 (0.5% ~ 3%),,,55%,,3,,,
접미,벌목,나무꾼의,"상의, 하의",벌목 시간 감소 (0.5% ~ 3%),최대 스태미나 증가 (100 ~ 500),*최대 체력 증가 (-20 ~ -5),50%,,4,,,
접미,벌목,솔향의,신발,벌목 목마름 감소 (5% ~ 15%),,,65%,,5,,,
접미,벌목,나뭇잎의,신발,벌목 배고픔 감소 (5% ~ 10%),,,65%,,6,,,
접미,벌목,고목의,상의,벌목 2배 획득 확률 (0.5% ~ 1.5%),,,65%,,7,,,
접미,벌목,나무의,"겉옷/단독상의, 상의",벌목 시간 감소 (0.5% ~ 2%),,,60%,,8,2000,2026-05-25,
접미,벌목,고목숲의,"상의, 하의",벌목 2배 획득 확률 (0.5% ~ 2%),*이동 속도 증가 (-10% ~ -1%),,55%,,9,,,
접미,벌목,뿌리의,"상의, 하의",벌목 시간 감소 (0.5% ~ 3%),최대 스태미나 증가 (100 ~ 500),*이동 속도 증가 (-10% ~ -1%),50%,,10,,,
접두,채광,풍화된,겉옷/단독상의,채광 2배 획득 확률 (0.5% ~ 1.5%),,,65%,,1,,,
접두,채광,갈려나간,"신발, 상의",채광 시간 감소 (0.5% ~ 2%),*최대 체력 증가 (-20 ~ -5),,60%,,2,,,
접두,채광,부스러진,"신발, 하의",채광 목마름 감소 (1% ~ 10%),,,60%,,3,,,
접두,채광,박살난,"신발, 상의",채광 배고픔 감소 (1% ~ 5%),,,65%,,4,,,
접두,채광,울퉁불퉁한,"상의, 하의",채광 시간 감소 (0.5% ~ 1.5%),,,65%,,5,,,
접두,채광,으스러진,"신발, 상의",채광 시간 감소 (0.5% ~ 2%),최대 스태미나 증가 (100 ~ 300),,45%,,6,,,
접두,채광,갈라진,"상의, 하의",채광 시간 감소 (0.5% ~ 2%),최대 스태미나 증가 (100 ~ 200),,50%,,7,,,
접두,채광,금이간,"상의, 하의",채광 시간 감소 (0.5% ~ 2%),채광 스태미나 감소 (10%~30%),,55%,,8,2000,2026-05-10,
접두,채광,마모된,"신발, 상의",채광 시간 감소 (0.5% ~ 3%),채광 2배 획득 확률 (0.5% ~ 2%),*최대 스태미나 감소 (-300 ~-100),40%,,9,30000,2026-05-20,
접미,채광,광부의,"상의, 하의",채광 시간 감소 (0.5% ~ 3%),최대 스태미나 증가 (100~500),*최대 체력 증가 (-20~-5),50%,,1,,,
접미,채광,대지의,"상의, 하의",채광 시간 감소 (0.5% ~ 3%),최대 스태미나 증가 (100~500),*이동 속도 증가 (-10~-1%),50%,,2,,,
접미,채광,흙의,"상의, 하의",채광 시간 감소 (0.5% ~ 2%),*이동 속도 증가 (-10% ~ -1%),,60%,,3,,,
접미,채광,바위의,"겉옷/단독상의, 하의",채광 시간 감소 (0.5% ~ 2%),,,60%,,4,2000,2026-05-05,
접미,채광,돌의,상의,채광 배고픔 감소 (5% ~ 10%),,,65%,,5,,,
접미,채광,암석의,"겉옷/단독상의, 하의",채광 시간 감소 (0.5% ~ 1.5%),,,65%,,6,,,
접미,채광,모래의,하의,채광 2배 획득 확률 (0.5% ~ 1.5%),,,65%,,7,,,
접두,피스톨,흐트러진,피스톨,무기 데미지 증가 (1 ~ 2),*총기 반동 감소 (-15% ~ -5%),,35%,,1,,,
접두,피스톨,침착한,피스톨,무기 데미지 증가 (1 ~ 2),총기 반동 감소 (10% ~ 20%),,20%,,2,,,
접두,피스톨,흩날리는,피스톨,무기 데미지 증가 (1 ~ 3),*총기 반동 감소 (-15% ~ -5%),,35%,,3,3000,2026-05-08,
접미,피스톨,전선의,"피스톨, SMG",탄창 크기 증가 (1~3),,,20%,,1,,,
접미,피스톨,용병의,피스톨,탄창 크기 증가 (1~3),,,25%,,2,2000,2026-05-10,
접미,피스톨,훈련의,"피스톨, SMG",크리티컬 확률 (1% ~ 5%),,,30%,,3,2000,2026-05-24,
접미,피스톨,균형의,피스톨,총기 반동 감소 (5% ~ 20%),,,20%,,4,,,
접미,피스톨,관성의,"피스톨, SMG",총기 반동 감소 (10% ~ 30%),*무기 데미지 증가 (-3 ~ -1),,55%,,5,,,
접미,피스톨,정밀의,피스톨,크리티컬 확률 (1% ~ 5%),,,30%,,6,,,
접두,SMG,연사하는,SMG,무기 데미지 증가 (1 ~ 2),,,20%,,1,2000,2026-05-10,
접두,SMG,흔들리는,SMG,무기 데미지 증가 (1 ~ 3),*총기 반동 감소 (-30% ~ -10%),*크리티컬 확률 (-5% ~ -1%),30%,,2,,,
접두,SMG,찌르는,SMG,무기 데미지 증가 (1 ~ 3),,,15%,,3,,,
접미,SMG,게릴라의,SMG,탄창 크기 증가 (1~5),,,25%,,1,,,
접미,SMG,전선의,"피스톨, SMG",탄창 크기 증가 (1~3),,,20%,,2,,,
접미,SMG,집중의,SMG,크리티컬 확률(1% ~ 5%),,,30%,,3,,,
접미,SMG,약실의,SMG,탄창 크기 증가 (1 ~ 5),*무기 데미지 증가 (-3 ~ -1),,35%,,4,,,
접미,SMG,관성의,"피스톨, SMG",총기 반동 감소 (10% ~ 30%),*무기 데미지 증가 (-3 ~ -1),,55%,,5,,,
접미,라이플,코만도의,라이플,탄창 크기 증가 (1 ~ 5),,,25%,,1,,,
접미,라이플,보초의,"라이플, 머신건",총기 반동 감소 (10% ~ 20%),*무기 데미지 증가 (-3 ~ -1),,55%,,2,,,
접두,저격소총,조준된,저격소총,무기 데미지 증가 (1 ~ 3),,,15%,,1,,,
접미,저격소총,사수의,저격소총,탄창 크기 증가 (1 ~ 2),,,25%,,1,,,
접미,머신건,보초의,"라이플, 머신건",총기 반동 감소 (10% ~ 20%),*무기 데미지 증가 (-3 ~ -1),,55%,,1,,,
접두,벌목,생기 넘치는,"상의, 신발",벌목 배고픔 감소 (1% ~ 5%),,,0.65%,,12,,,
접두,채광,쪼개진,"상의, 신발",채광 시간 감소 (0.5% ~ 2%),*이동 속도 증가 (-5% ~ -10%),,60%,,10,2000,2026-05-24,
접미,절도,약탈의,"신발, 하의",절도 2배 획득 확률 (0.1% ~ 1.5%),,,,,5,2000,2026-05-24,
접두,체력,튼실한,"상의, 하의",최대 체력 증가 (5 ~ 15),,,25%,,19,,,
접두,벌목,성장하는,"신발, 겉옷/단독상의",벌목 시간 감소 (0.5% ~ 2%),*최대 체력 증가 (-20 ~ -5),,60%,,13,2000,2026-07-15,영포티
접두,벌목,우거진,"신발, 겉옷/단독상의",벌목 시간 감소 (0.5% ~ 2%),최대 스태미나 증가 (100 ~ 300),,45%,,14,,,
접미,채광,광석의,"겉옷/단독상의, 하의",채광 시간 감소 (0.5% ~ 3%),,,55%,,8,10000,2026-05-25,
접미,채집,수확자,하의,채집 2배 획득 확률 (1% ~ 2%),,,50%,,1,,,
접두,채집,뿌리내린,상의,채집 시간 감소 (2% ~ 4%),*이동 속도 증가 (-10% ~ -3%),,50%,,1,,,
접두,제작,조립된,신발,제작 시간 감소 (1% ~ 4%),,,65%,,1,,,
접두,제작,깎아낸,신발,제작 시간 감소 (1% ~ 4%),,,65%,,2,,,
접두,제작,절단된,신발,제작 시간 감소 (2% ~ 5%),,,50%,,3,,,
접두,요리,익어가는,"겉옷/단독상의, 신발",요리 시간 감소 (1% ~ 4%),*최대 스태미나 증가 (-300 ~ -100),,55%,,1,,,
접두,제련,달궈진,겉옷/단독상의,제련 시간 감소 (1% ~ 4%),,,65%,,1,,,
접두,감정,통찰력 있는,상의,감정 성공 확률 (0.5% ~ 2%),감정 시 파괴 확률 감소 (0.5% ~ 2%),,20%,,8,12000,2026-06-21,
접미,감정,기억의,상의,감정 성공 확률 (0.1% ~ 2%),*이동 속도 증가 (-30% ~ -10%),,15%,,6,15000,2026-07-14,구만집
접미,감정,분석의,상의,감정 시 파괴 확률 감소 (0.5% ~ 2%),*최대 스태미나 증가 (-300 ~ -100),,23%,,7,4000,2026-05-30,
접두,절도,교묘한,신발,절도 속도 증가 (0.1% ~ 5%),,,30%,,12,,,
접두,절도,은밀한,신발,절도 소음 감소 (0.1% ~ 2%),,,45%,,13,,,
접두,절도,갈취하는,하의,절도 속도 증가 (0.5% ~ 2%),*이동 속도 증가 (-4% ~ -1%),,,,14,,,
접미,절도,강도의,"신발, 하의",절도 소음 감소 (0.1% ~ 1.5%),,,45%,,5,,,
접미,절도,갈취의,"신발, 하의",절도 속도 증가 (0.1% ~ 1.5%),,,45%,,6,,,
접두,절도,강탈하는,상의,절도 2배 획득 확률 (0.1% ~ .15%),,,25%,,15,,,
접두,피스톨,불안정한,피스톨,무기 데미지 증가 (1 ~ 3),*총기 반동 감소 (-35% ~ -10%),*크리티컬 확률 (-5% ~ -1%),30%,,4,,,
접미,피스톨,매복의,"피스톨, 샷건",크리티컬 확률 (1% ~ 5%),탄창 크기 증가 (1 ~ 2),,15%,,7,,,
접두,피스톨,꿰뚫는,피스톨,무기 데미지 증가 (1 ~ 3),,,15%,,5,,,
접미,SMG,안정의,SMG,총기 반동 감소 (5% ~ 20%),,,20%,,6,,,
접두,요리,훈연된,신발,요리 2배 획득 확률 (1% ~ 3%),,,60%,,2,,,
접미,요리,나이프의,신발,요리 시간 감소 (1% ~ 5%),*최대 스태미나 증가 (-200 ~ -500),*이동 속도 증가 (-5% ~ -15%),,,1,,,
접미,채집,산들바람의,하의,채집 시간 감소 (1% ~ 2%),채집 2배 획득 확률 (1% ~ 3%),*이동 속도 증가 (-3% ~ -8%),45%,,2,,,
접두,요리,손질된,"겉옷/단독상의, 신발",요리 시간 감소 (0.5% ~ 1.5%),,,65%,,3,,,
접두,채집,피어난,상의,채집 2배 획득 확률 (1% ~ 3%),*채집 스태미나 증가 (-1% ~ -10%),,45%,,2,,,
접두,제작,다듬어진,신발,제작 성공 확률 고정 증가 (0.1% ~ 2%),,,45%,,4,,,
접미,요리,오븐의,"겉옷/단독상의, 신발",요리 2배 획득 확률 (1% ~ 2%),*요리 시간 감소 (-1% ~ -3%),,50%,,2,,,
접미,채집,언덕의,하의,채집 시간 감소 (0.5% ~ 1.5%),채집 배고픔 감소 (5% ~ 10%),,55%,,3,,,
접미,"SMG, 피스톨, 라이플",억제의,"SMG, 피스톨, 라이플",크리티컬 확률 (1% ~ 5%),크리티컬 데미지 (1% ~ 3%),,15%,,7,,,
접미,"근접무기, 채광",광맥의,근접무기,채광 2배 획득 확률 (0.5% ~ 1.5%),*최대 스태미나 증가 (-200 ~ -400),,35%,,1,,,
접두,제련,녹아내린,겉옷/단독상의,재련 시간 감소 (2% ~ 5%),,,50%,,2,,,
접미,요리,스푼의,신발,요리 2배 획득 확률 (0.5% ~ 2%),,,65%,,3,,,
접미,이동속도,돌진의,"상의, 하의",이동 속도 증가 (0.5% ~ 5%),,,45%,,19,,,
